final_key	disposition	source_key	match_basis	year	doi	title
Kuhl1992	add	Kuhl1992	no_match_after_three_passes	1992		Linguistic experience alters phonetic perception in infants by 6 months of age
Kuhl2006	add	Kuhl2006	no_match_after_three_passes	2006		Infants show a facilitation effect for native language phonetic perception between 6 and 12 months
Lany2011	add	Lany2011	no_match_after_three_passes	2011	10.1080/15475441.2011.579840	Interactions between Statistical and Semantic Information in Infant Word Learning
lavechin2023babyslm	reuse	Lavechin2023BabySLM	title+first_author+year	2023		BabySLM: language-acquisition-friendly benchmark of self-supervised spoken language models
lavechin2024modeling	reuse	lavechin2024modeling	exact_key	2024		Modeling early phonetic acquisition from child-centered audio data
Lenci2022	add	Lenci2022	no_match_after_three_passes	2022	10.1007/s10579-021-09575-z	A Comparative Evaluation and Analysis of Semantic Relation Classification Tasks for Distributional Models
Lewis2001	add	Lewis2001	no_match_after_three_passes	2001		Learnability and the statistical structure of language: Poverty of stimulus arguments revisited
lin_microsoft_2014	reuse	lin2014microsoft	title+first_author+year	2014		Microsoft {COCO}: {Common} {Objects} in {Context}
linzen2016assessing	add	linzen2016assessing	no_match_after_three_passes	2016		Assessing the ability of LSTMs to learn syntax-sensitive dependencies
Linzen2021	add	Linzen2021	no_match_after_three_passes	2021		Syntactic structure from deep learning
liu2024benchmarking	reuse	LiuFourtassi2024	title+first_author+year	2024		Benchmarking llms for mimicking child-caregiver language in interaction
Long2024	add	Long2024	no_match_after_three_passes	2024		The {B}aby{V}iew dataset: High-resolution egocentric videos of infants' and young children's everyday experiences
lozano2025development	add	lozano2025development	no_match_after_three_passes	2025		The development of semantic integration in bilingual toddlers measured by N400
ma2025babysit	reuse	Ma2024	manual_version_resolution	2025	10.18653/v1/2025.naacl-long.46	Babysit a language model from scratch: Interactive language learning by trials and demonstrations
macwhinney_childes_2000	reuse	macwhinney_childes_2000	exact_key	2000		The {CHILDES} {Project}: {Tools} for analyzing talk. transcription format and programs
Mahowald2024	add	Mahowald2024	no_match_after_three_passes	2024	10.1016/j.tics.2024.01.011	Dissociating language and thought in large language models
ManyBabies2020	add	ManyBabies2020	no_match_after_three_passes	2020		Quantifying sources of variability in infancy research using the infant-directed-speech preference
Marcus1999	add	Marcus1999	no_match_after_three_passes	1999		Rule learning by seven-month-old infants
marcus_overregularization_1992	reuse	Marcus1992	title+first_author+year	1992	10.2307/1166115	Overregularization in {Language} {Acquisition}
